"Year","season","Family","catchableTotal_Wt","catchableTotal_Num","Total_Wt","Total_Num","famCatch_Wt","famCatch_Num","famRel_Wt","famRel_Num","famERel_Wt","famERel_Num","famProp","famcatchable_Wt","famcatchable_Num","famcatchable_RelWt","famcatchable_RelNum","famcatchable_ERelWt","famcatchable_ERelNum","famcatchableProp_Wt","famcatchableProp_Num"
1972,"FALL","MACKEREL",255.184292674748,1908.75268106609,2591.9,7600,11.4,49,0.0832116788321168,0.357664233576642,0.000281160003636686,0.00120849475247347,0.00439831783633628,1.15443037974684,4.9620253164557,0.00842649912223968,0.0362191628938372,2.84718991024492e-05,0.000122379215440352,0.00452390845708613,0.00259961668459021
1972,"FALL","BUTTERFISH",255.184292674748,1908.75268106609,2591.9,7600,3.2,84,0.0233576642335766,0.613138686131387,7.8922106283982e-05,0.00207170528995453,0.00123461553300667,2.95783783783784,77.6432432432432,0.0215900572104952,0.566739001775498,7.29496225651942e-05,0.00191492759233635,0.0115909870738315,0.0406774769793002
1972,"FALL","SAND LANCE",255.184292674748,1908.75268106609,2591.9,7600,1.8,232,0.0131386861313869,1.69343065693431,4.43936847847399e-05,0.00572185270558869,0.000694471237316254,0.92093023255814,118.697674418605,0.00672211848582584,0.866406382617552,2.27130480294018e-05,0.00292745952378956,0.00360888290930953,0.0621859896235006
1972,"FALL","POLLOCK",255.184292674748,1908.75268106609,2591.9,7600,789.6,387,5.76350364963504,2.82481751824818,0.0194740297255726,0.00954464222871907,0.304641382769397,38.5170731707317,18.8780487804878,0.281146519494392,0.137795976499911,0.000949952669540125,0.000465592303839955,0.150938260215822,0.00989025396938483
1972,"FALL","HAKE",255.184292674748,1908.75268106609,2591.9,7600,1734.2,6238,12.6583941605839,45.5328467153285,0.0427708489742755,0.153848780937337,0.669084455418805,202.994860214713,1576.15510589071,1.48171430813659,11.5047817948227,0.00500649435405238,0.0388729627459836,0.795483366499541,0.825751351406296
1972,"SPRING","HERRING",156.041346424286,1594.46680977489,2341.6,8412,25,499,0.203252032520325,4.05691056910569,0.000611802652042136,0.012211580934761,0.0106764605398018,5.74208669354839,164.192635345056,0.0466836316548649,1.33489947435005,0.000140520954694751,0.00401813958999569,0.0367984949190025,0.102976514994524
1972,"SPRING","MACKEREL",156.041346424286,1594.46680977489,2341.6,8412,1.9,9,0.0154471544715447,0.0731707317073171,4.64970015552023e-05,0.000220248954735169,0.00081141100102494,0.192405063291139,0.911392405063291,0.00156426880724503,0.00740969435010806,4.70855711951416e-06,2.23036916187513e-05,0.00123303898421882,0.000571596974910981
1972,"SPRING","SAND LANCE",156.041346424286,1594.46680977489,2341.6,8412,0,7,0,0.0569105691056911,0,0.000171304742571798,0,0,4,0,0.032520325203252,0,9.78884243267418e-05,0,0.00250867561210931
1972,"SPRING","POLLOCK",156.041346424286,1594.46680977489,2341.6,8412,890.2,1090,7.23739837398374,8.86178861788618,0.0217850688339164,0.0266745956290371,0.380167406901264,43.4243902439024,53.1707317073171,0.353043823121158,0.432282371604204,0.00106268628458129,0.0013011997867823,0.278287718216868,0.0333470294780383
1972,"SPRING","HAKE",156.041346424286,1594.46680977489,2341.6,8412,1424.5,6807,11.5813008130081,55.3414634146341,0.0348605151133609,0.166581626098033,0.608344721557909,106.682464423544,1372.19205031746,0.867337109134504,11.1560329294102,0.0026107445864286,0.0335804294198143,0.68368074787991,0.860596182940417
